0.0    	0.000 	0.000 
0.1    	0.002 	0.002 
0.2    	0.004 	0.004 
0.3    	0.006 	0.006 
0.4    	0.007 	0.007 
0.5    	0.009 	0.009 
0.6    	0.011 	0.011 
0.7    	0.013 	0.013 
0.8    	0.015 	0.015 
0.9    	0.017 	0.017 
1.0    	0.018 	0.018 
1.1    	0.020 	0.020 
1.2    	0.022 	0.022 
1.3    	0.024 	0.024 
1.4    	0.026 	0.026 
1.5    	0.028 	0.028 
1.6    	0.029 	0.029 
1.7    	0.031 	0.031 
1.8    	0.033 	0.033 
1.9    	0.035 	0.035 
2.0    	0.037 	0.037 
2.1    	0.039 	0.039 
2.2    	0.040 	0.040 
2.3    	0.042 	0.042 
2.4    	0.044 	0.044 
2.5    	0.046 	0.046 
2.6    	0.048 	0.048 
2.7    	0.050 	0.050 
2.8    	0.052 	0.052 
2.9    	0.053 	0.053 
3.0    	0.055 	0.055 
3.1    	0.057 	0.057 
3.2    	0.059 	0.059 
3.3    	0.061 	0.061 
3.4    	0.063 	0.063 
3.5    	0.064 	0.064 
3.6    	0.066 	0.066 
3.7    	0.068 	0.068 
3.8    	0.070 	0.070 
3.9    	0.072 	0.072 
4.0    	0.074 	0.074 
4.1    	0.075 	0.076 
4.2    	0.077 	0.077 
4.3    	0.079 	0.079 
4.4    	0.081 	0.081 
4.5    	0.083 	0.083 
4.6    	0.085 	0.085 
4.7    	0.087 	0.087 
4.8    	0.088 	0.089 
4.9    	0.090 	0.090 
5.0    	0.092 	0.092 
5.1    	0.094 	0.094 
5.2    	0.096 	0.096 
5.3    	0.098 	0.098 
5.4    	0.099 	0.100 
5.5    	0.101 	0.102 
5.6    	0.103 	0.103 
5.7    	0.105 	0.105 
5.8    	0.107 	0.107 
5.9    	0.109 	0.109 
6.0    	0.110 	0.111 
6.1    	0.112 	0.113 
6.2    	0.114 	0.115 
6.3    	0.116 	0.116 
6.4    	0.118 	0.118 
6.5    	0.120 	0.120 
6.6    	0.122 	0.122 
6.7    	0.123 	0.124 
6.8    	0.125 	0.126 
6.9    	0.127 	0.128 
7.0    	0.129 	0.129 
7.1    	0.131 	0.131 
7.2    	0.133 	0.133 
7.3    	0.134 	0.135 
7.4    	0.136 	0.137 
7.5    	0.138 	0.139 
7.6    	0.140 	0.141 
7.7    	0.142 	0.143 
7.8    	0.144 	0.144 
7.9    	0.146 	0.146 
8.0    	0.147 	0.148 
8.1    	0.149 	0.150 
8.2    	0.151 	0.152 
8.3    	0.153 	0.154 
8.4    	0.155 	0.156 
8.5    	0.157 	0.158 
8.6    	0.158 	0.159 
8.7    	0.160 	0.161 
8.8    	0.162 	0.163 
8.9    	0.164 	0.165 
9.0    	0.166 	0.167 
9.1    	0.168 	0.169 
9.2    	0.170 	0.171 
9.3    	0.171 	0.173 
9.4    	0.173 	0.175 
9.5    	0.175 	0.176 
9.6    	0.177 	0.178 
9.7    	0.179 	0.180 
9.8    	0.181 	0.182 
9.9    	0.183 	0.184 
10.0   	0.184 	0.186 
10.1   	0.186 	0.188 
10.2   	0.188 	0.190 
10.3   	0.190 	0.192 
10.4   	0.192 	0.193 
10.5   	0.194 	0.195 
10.6   	0.195 	0.197 
10.7   	0.197 	0.199 
10.8   	0.199 	0.201 
10.9   	0.201 	0.203 
11.0   	0.203 	0.205 
11.1   	0.205 	0.207 
11.2   	0.207 	0.209 
11.3   	0.208 	0.211 
11.4   	0.210 	0.213 
11.5   	0.212 	0.214 
11.6   	0.214 	0.216 
11.7   	0.216 	0.218 
11.8   	0.218 	0.220 
11.9   	0.220 	0.222 
12.0   	0.221 	0.224 
12.1   	0.223 	0.226 
12.2   	0.225 	0.228 
12.3   	0.227 	0.230 
12.4   	0.229 	0.232 
12.5   	0.231 	0.234 
12.6   	0.233 	0.236 
12.7   	0.234 	0.238 
12.8   	0.236 	0.240 
12.9   	0.238 	0.241 
13.0   	0.240 	0.243 
13.1   	0.242 	0.245 
13.2   	0.244 	0.247 
13.3   	0.246 	0.249 
13.4   	0.247 	0.251 
13.5   	0.249 	0.253 
13.6   	0.251 	0.255 
13.7   	0.253 	0.257 
13.8   	0.255 	0.259 
13.9   	0.257 	0.261 
14.0   	0.259 	0.263 
14.1   	0.260 	0.265 
14.2   	0.262 	0.267 
14.3   	0.264 	0.269 
14.4   	0.266 	0.271 
14.5   	0.268 	0.273 
14.6   	0.270 	0.275 
14.7   	0.272 	0.277 
14.8   	0.274 	0.279 
14.9   	0.275 	0.281 
15.0   	0.277 	0.282 
15.1   	0.279 	0.284 
15.2   	0.281 	0.286 
15.3   	0.283 	0.288 
15.4   	0.285 	0.290 
15.5   	0.287 	0.292 
15.6   	0.288 	0.294 
15.7   	0.290 	0.296 
